date,article_count,sentiment_sum,sentiment_mean,sentiment_sum_lag1,sentiment_mean_lag1
2017-01-01,4,0,0.0,,
2017-01-02,29,1,0.034482758620689655,0.0,0.0
2017-01-03,65,0,0.0,1.0,0.034482758620689655
2017-01-04,67,-3,-0.04477611940298507,0.0,0.0
2017-01-05,45,-3,-0.06666666666666667,-3.0,-0.04477611940298507
2017-01-06,23,1,0.043478260869565216,-3.0,-0.06666666666666667
2017-01-07,16,2,0.125,1.0,0.043478260869565216
2017-01-08,7,0,0.0,2.0,0.125
2017-01-09,7,2,0.2857142857142857,0.0,0.0
2017-01-10,18,-2,-0.1111111111111111,2.0,0.2857142857142857
2017-01-11,61,4,0.06557377049180328,-2.0,-0.1111111111111111
2017-01-12,54,27,0.5,4.0,0.06557377049180328
2017-01-13,47,-1,-0.02127659574468085,27.0,0.5
2017-01-14,56,4,0.07142857142857142,-1.0,-0.02127659574468085
2017-01-15,20,4,0.2,4.0,0.07142857142857142
2017-01-16,62,12,0.1935483870967742,4.0,0.2
2017-01-17,45,3,0.06666666666666667,12.0,0.1935483870967742
2017-01-18,25,3,0.12,3.0,0.06666666666666667
2017-01-19,78,38,0.48717948717948717,3.0,0.12
2017-01-20,14,4,0.2857142857142857,38.0,0.48717948717948717
2017-01-21,7,0,0.0,4.0,0.2857142857142857
2017-02-19,32,-1,-0.03125,0.0,0.0
2017-02-20,90,3,0.03333333333333333,-1.0,-0.03125
2017-02-21,16,0,0.0,3.0,0.03333333333333333
2017-02-22,28,-1,-0.03571428571428571,0.0,0.0
2017-02-23,27,-1,-0.037037037037037035,-1.0,-0.03571428571428571
2017-02-24,45,7,0.15555555555555556,-1.0,-0.037037037037037035
2017-02-25,12,1,0.08333333333333333,7.0,0.15555555555555556
2017-02-26,1,1,1.0,1.0,0.08333333333333333
2017-02-27,37,-5,-0.13513513513513514,1.0,1.0
2017-02-28,117,-36,-0.3076923076923077,-5.0,-0.13513513513513514
2017-03-01,18,0,0.0,-36.0,-0.3076923076923077
2017-03-02,9,0,0.0,0.0,0.0
2017-03-03,41,1,0.024390243902439025,0.0,0.0
2017-03-04,27,0,0.0,1.0,0.024390243902439025
2017-03-05,12,0,0.0,0.0,0.0
2017-03-06,21,5,0.23809523809523808,0.0,0.0
2017-03-07,104,4,0.038461538461538464,5.0,0.23809523809523808
2017-03-08,23,1,0.043478260869565216,4.0,0.038461538461538464
2017-03-09,39,20,0.5128205128205128,1.0,0.043478260869565216
2017-03-10,42,23,0.5476190476190477,20.0,0.5128205128205128
2017-03-11,9,3,0.3333333333333333,23.0,0.5476190476190477
2017-03-26,6,0,0.0,3.0,0.3333333333333333
